Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead,,,
4,9,25,87,10,0,0,,,
4,9,26,71,36,0,0,,,
4,9,27,55,14,0,0,,,
4,9,28,55,11,0,0,,,
4,9,29,49,13,0,0,,,
4,9,30,87,12,0,0,,,
4,9,31,104,19,0,0,,,
4,9,32,87,14,0,0,,,
4,9,33,87,13,0,0,,,
4,9,34,87,20,0,0,,,
4,9,35,87,18,0,0,,,
4,9,36,87,22,0,0,,,
4,9,37,55,12,0,0,,,
4,9,38,55,12,0,0,,,
4,9,39,87,16,0,0,,,
4,9,40,61,12,0,0,,,
4,9,41,55,13,0,0,,,
4,9,42,55,13,0,0,,,
4,9,43,55,12,0,0,,,
4,9,44,61,12,0,0,,,
4,9,45,87,27,0,0,,,
4,9,46,55,14,0,0,,,
4,9,47,55,13,0,0,,,
4,9,48,52,12,0,0,,,
4,9,49,18,14,0,0,,,
4,10,1,71,19,0,0,,,
4,10,2,87,14,0,0,,,
4,10,3,87,10,0,0,,,
4,10,4,55,24,0,0,,,
4,10,5,87,14,0,0,,,
4,10,6a,87,25,0,0,,,
4,10,6b,87,26,0,0,,,
4,10,7,87,61,0,0,,,
4,10,8,87,12,0,0,,,
4,10,9a,87,12,0,0,,,
4,10,9b,87,41,0,0,,,
4,10,9c,87,38,0,0,,,
4,10,10,87,55,0,0,,,
4,10,11,87,29,0,0,,,
4,10,12,87,66,0,0,,,
4,10,13,87,27,0,0,,,
4,10,14,87,36,0,0,,,
4,10,15,55,26,0,0,,,
4,10,16,55,17,0,0,,,
4,10,17,71,19,0,0,,,
4,10,18,55,18,0,0,,,
4,10,19,71,27,0,0,,,
4,10,20,55,20,0,0,,,
4,10,21,87,40,0,0,,,
4,10,22,87,19,0,0,,,
4,10,23a,87,10,0,0,,,
4,10,23b,87,39,0,0,,,
4,10,24,87,11,0,0,,,
4,10,25,87,14,0,0,,,
8,1,1,55,24,0,0,,,
8,1,2,55,16,0,0,,,
8,1,3,55,18,0,0,,,
8,1,4,55,16,0,0,,,
8,1,5,71,17,0,0,,,
8,1,6,55,11,0,0,,,
8,1,7,18,30,0,0,,,
8,1,8,71,22,0,0,,,
8,1,9,55,20,0,0,,,
8,1,10,55,16,0,0,,,
8,1,11,71,16,0,1,,,
8,1,12,87,71,0,0,,,
8,1,13,87,12,0,0,,,
8,1,14,71,21,0,0,,,
8,1,15,87,12,0,0,,,
8,1,16A,87,44,0,0,,,
8,1,16B,71,18,0,1,,,
8,1,16C,55,13,0,0,,,
8,1,17,55,16,0,0,,,
8,1,18,55,12,0,0,,,
8,1,19,55,11,0,0,,,
8,1,20,55,13,0,0,,,
8,1,21a,55,11,0,0,,,
8,1,21b,55,19,0,0,,,
8,1,22,61,20,0,0,,,
8,1,23,18,12,0,0,,,
8,1,24,55,12,0,0,,,
8,1,25,71,29,0,0,,,
8,1,26,55,13,0,0,,,
8,1,27,55,13,0,0,,,
8,1,28,81,11,0,1,,,
8,1,29,55,22,0,0,,,
8,1,30,55,20,0,0,,,
8,1,31,71,30,1,0,,,
8,1,32,111,21,0,0,,,
8,2,1a,87,15,0,0,,,
8,2,1b,87,15,0,0,,,
8,2,2,87,16,0,0,,,
8,2,3,87,40,0,0,,,
8,2,4a,87,21,0,0,,,
8,2,4b,87,24,0,0,,,
8,2,5,87,12,0,0,,,
8,2,6,87,19,0,0,,,
8,2,7,87,14,0,0,,,
8,2,8a,87,11,0,0,,,
8,2,8b,87,11,0,0,,,
8,2,9,87,15,0,0,,,
8,2,10a,87,26,0,0,,,
8,2,10b,87,16,0,0,,,
8,2,11,87,11,0,0,,,
8,2,12,87,11,0,0,,,
8,2,13,87,24,0,0,,,
8,2,14,87,20,0,0,,,
8,2,15,87,12,0,0,,,
8,2,16,87,24,0,0,,,
8,2,17,87,18,0,0,,,
8,2,18a,87,13,0,0,,,
8,2,18b,87,18,0,0,,,
8,2,18c,87,22,0,0,,,
8,2,19,87,24,0,0,,,
8,2,20,87,30,0,0,,,
8,2,21,87,14,0,0,,,
8,2,22,87,25,0,0,,,
8,2,23,87,11,0,0,,,
8,2,24,87,18,0,0,,,
8,2,25,87,18,0,1,,,
8,2,26,87,20,0,0,,,
8,2,27a,87,18,0,0,,,
8,2,27b,87,19,0,0,,,
8,2,28,87,24,0,0,,,
8,2,29,87,23,0,0,,,
8,2,30a,87,20,0,0,,,
8,2,30b,87,15,0,0,,,
8,2,31,87,20,0,0,,,
8,2,32,87,30,0,0,,,
8,2,33,87,12,0,0,,,
8,2,34,87,21,0,0,,,
8,2,35,87,11,0,0,,,
8,2,36,87,19,0,0,,,
8,2,37,87,19,0,0,,,
8,2,38,87,23,0,0,,,
8,2,39,87,16,0,0,,,
8,2,40a,87,20,0,0,,,
8,2,40b,87,11,0,0,,,
8,2,55,87,17,0,0,,,
8,2,41,87,26,0,0,,,
8,2,42,87,18,0,0,,,
8,2,43,87,21,0,0,,,
8,2,44,87,14,0,0,,,
8,2,45,87,20,0,0,,,
8,2,46,87,13,0,0,,,
8,2,47,87,55,0,0,,,
8,2,48,87,14,0,0,,,
8,2,49,87,18,0,0,,,
8,2,50,71,23,0,0,,,
8,2,51a,87,15,0,0,,,
8,2,51b,87,12,0,0,,,
8,2,51c,87,19,0,0,,,
8,2,52,71,24,0,0,,,
8,2,53,87,30,0,0,,,
8,2,54a,87,27,0,0,,,
8,2,54b,87,23,0,0,,,
8,2,54c,87,15,0,0,,,
8,5,1,87,16,0,0,,,
8,5,2,87,20,0,0,,,
8,6,1,85,14,0,0,,,
8,6,2,55,13,0,0,,,
8,6,3,55,13,0,0,,,
8,6,4,55,33,0,0,,,
8,6,5,24,13,0,0,,,
8,6,6,102,20,0,0,,,
8,6,7a,54,26,0,0,,,
8,6,7b,54,31,0,0,,,
8,6,8,111,16,0,0,,,
8,6,9,55,29,0,0,,,
8,6,10,61,14,0,0,,,
8,6,11,52,11,0,0,,,
8,6,12,85,11,0,0,,,
8,6,13,55,24,0,0,,,
8,6,14,87,20,0,0,,,
8,6,15,61,23,0,0,,,
8,6,16,61,10,0,0,,,
8,6,17,66,11,0,0,,,
8,6,18,61,23,0,0,,,
8,6,19,61,12,0,0,,,
8,6,20,61,22,0,1,,,
8,6,21,61,17,0,1,,,
8,6,22,90,13,0,0,,,
8,6,23,61,18,0,0,,,
8,6,24,66,18,0,0,,,
8,6,25,66,17,0,0,,,
8,6,26,102,16,0,0,,,
8,6,27,102,17,0,0,,,
8,6,28,111,19,0,0,,,
8,6,29,102,69,0,0,,,
8,6,30,71,38,0,0,,,
8,6,31,66,12,0,0,,,
8,7,1a,87,14,0,0,,,
8,7,1b,87,34,0,0,,,
8,7,1c,87,42,0,0,,,
8,7,2,87,44,0,0,,,
8,7,3,87,40,0,0,,,
8,7,4a,87,31,0,0,,,
8,7,4b,87,30,0,0,,,
8,7,4c,87,22,0,0,,,
8,7,5,87,31,0,0,,,
8,7,6,87,39,0,0,,,
8,7,7,87,20,0,0,,,
8,7,8,87,26,0,0,,,
8,7,9,87,14,0,0,,,
8,7,10,87,23,0,0,,,
8,7,11,71,25,0,0,,,
8,7,12,87,26,0,0,,,
8,7,13,87,15,0,0,,,
8,7,14,87,39,0,0,,,
8,7,15,71,30,0,0,,,
8,7,16,87,15,0,0,,,
8,7,17,87,33,0,0,,,
8,7,18a,87,21,0,0,,,
